path	name	ext	bucket	duration_seconds	sample_rate	channels	bpm	size_bytes	modified_epoch
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n200.wav	slice_03n200.wav	wav	drums	0.49	44100	2		86308	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n201.wav	slice_03n201.wav	wav	drums	0.21	44100	2		37064	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n202.wav	slice_03n202.wav	wav	drums	0.06	44100	2		10388	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n203.wav	slice_03n203.wav	wav	drums	0.10	44100	2		18424	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n204.wav	slice_03n204.wav	wav	drums	0.11	44100	2		18952	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n205.wav	slice_03n205.wav	wav	drums	0.21	44100	2		37236	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n206.wav	slice_03n206.wav	wav	drums	0.10	44100	2		18452	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n207.wav	slice_03n207.wav	wav	drums	0.10	44100	2		18404	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n208.wav	slice_03n208.wav	wav	drums	0.21	44100	2		37608	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n209.wav	slice_03n209.wav	wav	drums	0.10	44100	2		18432	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n210.wav	slice_03n210.wav	wav	drums	0.10	44100	2		18528	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n211.wav	slice_03n211.wav	wav	drums	0.11	44100	2		19048	1783747895
